"","country.code","country.name","year","pov","income","reg","edu.total","hlth","mil","fdi","lbr.part","unemp","pop.gwth.total","pop.gwth.rural","pop.gwth.urban","gdp.dflt","gcf","trade","gdp.pc","lfdi","lgdp.dflt","lgdp.pc"
"810","HUN","Hungary",2009,0.1,"H","Europe & Central Asia",4.94466018676758,7.2392807,1.12864547726941,-2792080129.12211,49.8600006103516,10.0299997329712,-0.154908813950621,-1.78080373906874,0.603140958545005,4.20002707582458,21.0514251932425,144.950161093855,13081.7926445778,NA,1.43509097189344,9.47897666795813
"811","HUN","Hungary",2010,0.1,"H","Europe & Central Asia",4.72175979614258,7.46319818,1.02399560793212,-20770280260.78,50.3400001525879,11.1700000762939,-0.226013875689698,-1.66627699260693,0.430609461286473,2.5336959140319,21.1753827996698,157.398484246815,13223.0830027699,NA,0.929679072342879,9.48971929368829
"812","HUN","Hungary",2011,0.1,"H","Europe & Central Asia",4.56132984161377,7.49094248,1.03842601131779,10740966550.9834,50.6800003051758,11.0299997329712,-0.283360435946948,-1.73158628832596,0.363199418675683,1.93382070512209,20.7855031709152,166.365560083394,14240.2575010219,23.0973309174139,0.659497685971461,9.5638282677394
"813","HUN","Hungary",2012,0.3,"UM","Europe & Central Asia",4.14111995697021,7.43017483,1.02920536632139,10815928328.3018,51.6599998474121,11,-0.516437606548041,-1.5662661418381,-0.0561159938072453,2.89320060133669,20.1540001732725,165.593273413311,12989.1802815896,23.1042857297737,1.06236336383781,9.47187200386979
"814","HUN","Hungary",2013,0.2,"UM","Europe & Central Asia",4.18772983551025,7.24897766,0.94530308092326,-3586600504.51759,52.1800003051758,10.1800003051758,-0.27536875707442,-1.18644490296473,0.118529730670953,2.81884151690318,21.6121601558333,164.287652518947,13719.9505393621,NA,1.03632599093584,9.52660629627062
"815","HUN","Hungary",2014,0.7,"H","Europe & Central Asia",4.6003999710083,7.06011677,0.859447822927357,13060104658.7999,53.6800003051758,7.73000001907349,-0.269378767165116,-1.18543860610644,0.121535685159276,3.69746112729104,24.0478111261038,168.340714718027,14298.833667395,23.2928279744532,1.30764640230646,9.56793325120103
"816","HUN","Hungary",2015,0.6,"H","Europe & Central Asia",4.49410009384155,6.85949564,0.905444560089667,-5266437314.96472,54.7599983215332,6.80999994277954,-0.237855001984657,-1.15904829607525,0.150141441052492,2.77655417502014,23.5055194502477,167.272127057162,12720.7120220668,NA,1.02121065349193,9.45098681190506
"817","HUN","Hungary",2016,1.3,"H","Europe & Central Asia",4.61454010009766,6.99535179,1.0031063011266,69681210262.328,55.7000007629395,5.1100001335144,-0.295110604845478,-1.24535327111113,0.0998444370776508,1.32087895128745,21.5441591120975,164.370333339537,13107.3779137744,24.9671965382022,0.27829738719122,9.48093055017668
"818","HUN","Hungary",2017,0.6,"H","Europe & Central Asia",4.61409997940063,6.75595856,1.02665762335845,-12133055292.6452,56.2700004577637,4.15999984741211,-0.265860932255517,-1.239060531003,0.133177104564375,4.02933650653594,23.0993674683896,165.200754138916,14623.6966492311,NA,1.39360172382748,9.59039855012752
"819","HUN","Hungary",2018,0.2,"H","Europe & Central Asia",4.62282991409302,6.54620171,1.1166413873556,-64364899191.4145,56.7299995422363,3.71000003814697,-0.126786951652838,-1.1305200093789,0.279085901553299,4.84648198792496,26.806999265955,163.238968653431,16427.3727611478,NA,1.5782530784317,9.70670429326328
