region,country.code,economy,year,survey.name,survey.year,survey.coverage,datatype,comparability,dep.monetary,edu.attainment,edu.enrollment,infra.electricity,infra.sanitation,infra.drinkWater,dep.mpi
SSA,TGO,Togo,2015,QUIBB,2015,N,c,0,51.1,26.6,16.0,,60.4,40.6,64.5
SSA,TGO,Togo,2018,EHCVM,2018,N,c,1,24.1,32.7,14.0,47.4,83.7,25.3,44.6
EAP,THA,Thailand,2012,SES,2012,N,c,2,0.1,14.4,0.7,1.5,0.3,0.7,0.3
EAP,THA,Thailand,2016,SES,2016,N,c,3,0.0,14.5,0.6,0.1,0.3,1.1,0.2
EAP,THA,Thailand,2017,SES,2017,N,c,3,0.0,14.8,0.6,0.1,0.2,0.9,0.1
EAP,THA,Thailand,2018,SES,2018,N,c,3,0.0,14.7,0.6,0.1,0.2,0.8,0.2
EAP,THA,Thailand,2019,SES,2019,N,c,3,0.1,15.0,0.5,0.1,0.2,0.9,0.2
EAP,THA,Thailand,2020,SES,2020,N,c,3,0.0,13.4,0.5,0.1,0.2,0.5,0.2
ECA,TJK,Tajikistan,2015,HSITAFIEN,2015,N,c,0,4.1,0.3,26.8,2.0,3.5,39.4,5.1
EAP,TLS,Timor Leste,2014,TLSLS,2014,N,c,0,22.0,21.1,16.4,27.4,39.6,22.1,34.1
EAP,TON,Tonga,2015,HIES,2015,N,c,1,1.0,1.9,0.8,8.3,0.4,0.1,1.0
MNA,TUN,Tunisia,2015,NSHBCSL,2015,N,c,2,0.2,20.2,2.1,0.2,6.5,2.1,1.6
ECA,TUR,Turkey,2013,HICES,2013,N,c,1,0.3,3.2,4.2,0.0,2.9,0.7,0.6
ECA,TUR,Turkey,2016,HICES,2016,N,c,1,0.2,3.2,5.6,0.0,7.3,0.0,0.6
ECA,TUR,Turkey,2017,HICES,2017,N,c,1,0.1,3.1,5.4,0.0,6.5,0.4,0.6
ECA,TUR,Turkey,2018,HICES,2018,N,c,1,0.0,3.1,3.4,0.0,5.6,0.1,0.3
ECA,TUR,Turkey,2019,HICES,2019,N,c,1,0.4,3.3,3.0,0.0,5.3,0.1,0.6
OHI,TWN,"Taiwan, China",2013,FIDES-LIS,2013,N,I,0,0.1,1.1,1.5,0.0,0.0,,0.1
OHI,TWN,"Taiwan, China",2016,FIDES-LIS,2016,N,I,0,0.1,0.9,1.2,0.0,0.0,,0.1
SSA,TZA,Tanzania,2018,HBS,2018,N,c,1,49.4,13.2,19.5,44.3,71.5,29.2,57.8
SSA,UGA,Uganda,2012,UNHS,2012,N,c,2,35.7,47.9,18.5,91.1,72.1,26.0,65.0
SSA,UGA,Uganda,2016,UNHS,2016,N,c,2,41.3,34.8,14.0,61.2,77.6,22.9,57.0
SSA,UGA,Uganda,2019,UNHS,2019,N,c,2,41.0,31.4,11.8,41.3,71.1,23.7,51.3
ECA,UKR,Ukraine,2019,HLCS,2019,N,c,4,0.0,1.4,,0.0,15.3,0.0,1.4
ECA,UKR,Ukraine,2020,HLCS,2020,N,c,4,0.0,1.6,,0.0,12.4,0.0,1.7
LAC,URY,Uruguay,2012,ECH,2012,N,i,3,0.2,3.1,1.4,0.4,1.5,0.8,0.3
LAC,URY,Uruguay,2013,ECH,2013,N,i,3,0.2,3.0,1.4,0.3,1.6,0.5,0.3
LAC,URY,Uruguay,2014,ECH,2014,N,i,3,0.1,3.0,1.2,0.3,1.5,0.5,0.2
LAC,URY,Uruguay,2015,ECH,2015,N,i,3,0.1,2.8,1.1,0.2,1.2,0.5,0.2
LAC,URY,Uruguay,2016,ECH,2016,N,i,3,0.1,2.5,1.0,0.2,1.2,0.5,0.1
LAC,URY,Uruguay,2017,ECH,2017,N,i,3,0.1,2.4,0.8,0.2,1.1,0.5,0.1
LAC,URY,Uruguay,2018,ECH,2018,N,i,3,0.1,2.2,0.7,0.1,0.9,0.4,0.1
LAC,URY,Uruguay,2019,ECH,2019,N,i,3,0.1,2.0,0.7,0.1,1.0,0.5,0.1
OHI,USA,United States,2012,CPS-ASEC-LIS,2012,N,I,1,1.0,0.3,,0.0,0.0,,1.3
OHI,USA,United States,2013,CPS-ASEC-LIS,2013,N,I,1,1.0,0.3,,0.0,0.0,,1.3
OHI,USA,United States,2014,CPS-ASEC-LIS,2014,N,I,1,1.2,0.3,,0.0,0.0,,1.5
OHI,USA,United States,2015,CPS-ASEC-LIS,2015,N,I,1,1.1,0.3,,0.0,0.0,,1.4
OHI,USA,United States,2016,CPS-ASEC-LIS,2016,N,I,1,1.1,0.2,,0.0,0.0,,1.3
OHI,USA,United States,2017,CPS-ASEC-LIS,2017,N,I,1,1.2,0.2,,0.0,0.0,,1.4
OHI,USA,United States,2018,CPS-ASEC-LIS,2018,N,I,1,1.0,0.2,,0.0,0.0,,1.2
OHI,USA,United States,2019,CPS-ASEC-LIS,2019,N,I,1,0.9,0.2,,0.0,0.0,,1.1
EAP,VNM,Vietnam,2012,VHLSS,2012,N,c,2,2.7,6.6,2.5,1.6,27.6,8.7,4.7
EAP,VNM,Vietnam,2014,VHLSS,2014,N,c,2,2.6,5.9,1.3,0.9,19.8,7.1,3.8
EAP,VNM,Vietnam,2016,VHLSS,2016,N,c,2,1.8,5.2,1.7,0.8,17.2,7.4,2.9
EAP,VNM,Vietnam,2018,VHLSS,2018,N,c,2,1.8,11.8,1.7,0.4,11.1,4.7,3.0
EAP,VUT,Vanuatu,2019,NSDP,2019,N,c,1,8.6,25.7,13.4,1.4,43.0,11.8,14.4
EAP,WSM,Samoa,2013,HIES,2013,N,c,0,1.1,0.4,13.0,2.0,0.9,0.5,1.3
EAP,WSM,Samoa,2018,HIES,2018,N,c,0,8.1,0.1,10.5,0.4,0.6,1.3,8.1
ECA,XKX,Kosovo,2016,HBS,2016,N,c,1,0.8,0.3,21.6,0.1,,,1.0
ECA,XKX,Kosovo,2017,HBS,2017,N,c,1,0.4,0.5,23.6,0.2,1.4,0.7,0.8
MNA,YEM,"Yemen, Rep.",2014,HBS,2014,N,c,1,18.3,16.0,44.5,33.9,41.2,14.0,34.6
SSA,ZAF,South Africa,2014,LCS,2014,N,c,3,18.7,2.3,2.3,4.1,35.2,10.4,20.0
SSA,ZMB,Zambia,2015,LCMS-VII,2015,N,c,4,58.7,24.4,30.4,69.2,60.0,34.4,64.9
SSA,ZWE,Zimbabwe,2017,PICES,2017,N,c,0,34.1,6.9,3.1,37.1,67.6,22.4,39.6
SSA,ZWE,Zimbabwe,2019,PICES,2019,N,c,0,39.5,0.9,6.0,38.0,38.3,19.3,42.2
