"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Belarus","BLR","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","48.689998626709","","","","","","","","","","","","","","","","","","","68.1699981689453","","","","","","","","45.9000015258789","","58.6699981689453","","","","","","","54.8300018310547","55.2400016784668","56.3699989318848","61.4000015258789","","","","","","82.0999984741211","70.8300018310547","71.2600021362305","70.9199981689453","70.6699981689453","70.3000030517578","",
"Belize","BLZ","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","53.3199996948242","","","","","","","","","","27.6200008392334","","","","","","","","","","","","","","","","","","","","","","","","56.0699996948242","","34.0999984741211","58.9000015258789","58.7000007629395","59.2999992370605","","","","","","38.2000007629395","","","","","","","67.4199981689453","62.6300010681152","63.4900016784668","63.4900016784668","64.25","64.0299987792969","","69.7300033569336","","",
"Bermuda","BMU","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","74.2099990844727","","","","","","78.0899963378906","","","","76.9499969482422","","","","","","","","","","","74.8499984741211","","","","","","","","","73.4400024414063","","","","","","","","","82","84","","","","","","","","","","","",
"Bolivia","BOL","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","52.9500007629395","","","","54.439998626709","54.2099990844727","53.4099998474121","","","52.4799995422363","53.1599998474121","53.6599998474121","","53.2700004577637","53.6500015258789","51.6800003051758","63.1500015258789","52.5999984741211","53.7000007629395","63.6599998474121","64.6999969482422","70.6600036621094","","71.3300018310547","70.3499984741211","67.8000030517578","72.3000030517578","73.0999984741211","73.0999984741211","69.9800033569336","72.7200012207031","49.7599983215332","71.8099975585938","72.120002746582","","71.9800033569336","68.620002746582","69.3000030517578","71.370002746582","67.0800018310547","67.3600006103516","68.629997253418","71.8000030517578","70.6800003051758","69.6800003051758","",
"Brazil","BRA","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","53.1599998474121","","","","","","","","","","51.9300003051758","","","61.5800018310547","","","","","","","55.9799995422363","","","","","62.5299987792969","62.3699989318848","63.7900009155273","63.6100006103516","63.4500007629395","63.6300010681152","63.6300010681152","68.4499969482422","68.1699981689453","","66.4700012207031","64.7200012207031","65.6399993896484","65.7600021362305","66.379997253418","","67.0299987792969","67.9000015258789","67.7600021362305","68.2900009155273","68.9700012207031","68.6399993896484","68.25","68.0299987792969","68.2099990844727","","65.6800003051758","63.7900009155273","63.7200012207031","63.5099983215332","63.7000007629395","63.4799995422363","63.7900009155273","63.8600006103516","64.3199996948242","59.6300010681152","61.9099998474121",
"Barbados","BRB","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","39.689998626709","","","","","","38.0400009155273","","","","61.1599998474121","","","","","","","","41.3300018310547","","64.3000030517578","","","64.0100021362305","","","65.4499969482422","66.5400009155273","67.4499969482422","68.5999984741211","67.3399963378906","65.1900024414063","66.120002746582","","67.4700012207031","68.1600036621094","67","67.7200012207031","","","","","","69.25","69.6800003051758","","","","","66.9599990844727","66.5999984741211","67.5899963378906","66.1900024414063","66.7099990844727","63.8800010681152","63.9599990844727","65.4400024414063","64.370002746582","63.5699996948242","62.2999992370605","","",
"Brunei Darussalam","BRN","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","55.4599990844727","","","","","","","","","","","53.1399993896484","","","","","","","60.3400001525879","","","59.6100006103516","","","","","60.2999992370605","","","","","65.5699996948242","","","","","","","","","","67.9499969482422","","","","","","","","","","66.4000015258789","","","65.9899978637695","","","62.7299995422363","65.3899993896484","64.4100036621094","65.2200012207031","",
"Bhutan","BTN","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.439998626709","61.7999992370605","","","69.6999969482422","68.1500015258789","67.3899993896484","64.3600006103516","65.3000030517578","62.6100006103516","63.1399993896484","","","","","","",
"Botswana","BWA","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","46.1599998474121","","","","","","","47.4099998474121","","","","","","","","","","60.7799987792969","","","","70.2799987792969","","","","","","57.3800010681152","","","60.5999984741211","","52.3800010681152","","57.8499984741211","","57.439998626709","55.0400009155273","","53.5","","","58.8499984741211","","","62.189998626709","59.1300010681152","","","69.5800018310547","","","","","","63.9000015258789","66.2900009155273","",
"Central African Republic","CAF","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","61.4799995422363","","","","","","","","","","","","","77.7200012207031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
